,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
0,min,min,min,min,Iris-setosa
1,min,mean,min,min,Iris-setosa
2,min,mean,min,min,Iris-setosa
3,min,mean,min,min,Iris-setosa
4,min,mean,min,min,Iris-setosa
5,min,mean,min,min,Iris-setosa
6,min,mean,min,min,Iris-setosa
7,min,min,min,min,Iris-setosa
8,min,mean,min,min,Iris-setosa
9,min,mean,min,min,Iris-setosa
10,min,mean,min,min,Iris-setosa
11,min,min,min,min,Iris-setosa
12,min,min,min,min,Iris-setosa
13,min,mean,min,min,Iris-setosa
14,min,max,min,min,Iris-setosa
15,min,mean,min,min,Iris-setosa
16,min,mean,min,min,Iris-setosa
17,min,mean,min,min,Iris-setosa
18,min,mean,min,min,Iris-setosa
19,min,mean,min,min,Iris-setosa
20,min,mean,min,min,Iris-setosa
21,min,mean,min,min,Iris-setosa
22,min,mean,min,min,Iris-setosa
23,min,mean,min,min,Iris-setosa
24,min,min,min,min,Iris-setosa
25,min,mean,min,min,Iris-setosa
26,min,mean,min,min,Iris-setosa
27,min,mean,min,min,Iris-setosa
28,min,mean,min,min,Iris-setosa
29,min,mean,min,min,Iris-setosa
30,min,mean,min,min,Iris-setosa
31,min,mean,min,min,Iris-setosa
32,min,mean,min,min,Iris-setosa
33,min,mean,min,min,Iris-setosa
34,min,mean,min,min,Iris-setosa
35,min,mean,min,min,Iris-setosa
36,min,mean,min,min,Iris-setosa
37,min,min,min,min,Iris-setosa
38,min,mean,min,min,Iris-setosa
39,min,mean,min,min,Iris-setosa
40,min,min,min,min,Iris-setosa
41,min,mean,min,min,Iris-setosa
42,min,mean,min,min,Iris-setosa
43,min,mean,min,min,Iris-setosa
44,min,min,min,min,Iris-setosa
45,min,mean,min,min,Iris-setosa
46,min,mean,min,min,Iris-setosa
47,min,mean,min,min,Iris-setosa
48,min,mean,min,min,Iris-setosa
49,mean,mean,mean,mean,Iris-versicolor
50,mean,mean,mean,mean,Iris-versicolor
51,mean,mean,mean,mean,Iris-versicolor
52,min,min,mean,mean,Iris-versicolor
53,mean,min,mean,mean,Iris-versicolor
54,min,min,mean,mean,Iris-versicolor
55,mean,mean,mean,mean,Iris-versicolor
56,min,min,min,min,Iris-versicolor
57,mean,min,mean,mean,Iris-versicolor
58,min,min,mean,mean,Iris-versicolor
59,min,min,min,min,Iris-versicolor
60,mean,min,mean,mean,Iris-versicolor
61,mean,min,mean,min,Iris-versicolor
62,mean,min,mean,mean,Iris-versicolor
63,min,min,min,mean,Iris-versicolor
64,mean,mean,mean,mean,Iris-versicolor
65,min,min,mean,mean,Iris-versicolor
66,min,min,mean,min,Iris-versicolor
67,mean,min,mean,mean,Iris-versicolor
68,min,min,mean,min,Iris-versicolor
69,mean,mean,mean,mean,Iris-versicolor
70,mean,min,mean,mean,Iris-versicolor
71,mean,min,mean,mean,Iris-versicolor
72,mean,min,mean,mean,Iris-versicolor
73,mean,min,mean,mean,Iris-versicolor
74,mean,min,mean,mean,Iris-versicolor
75,mean,min,mean,mean,Iris-versicolor
76,mean,min,mean,mean,Iris-versicolor
77,mean,min,mean,mean,Iris-versicolor
78,min,min,min,min,Iris-versicolor
79,min,min,mean,min,Iris-versicolor
80,min,min,min,min,Iris-versicolor
81,min,min,mean,mean,Iris-versicolor
82,mean,min,mean,mean,Iris-versicolor
83,min,min,mean,mean,Iris-versicolor
84,mean,mean,mean,mean,Iris-versicolor
85,mean,mean,mean,mean,Iris-versicolor
86,mean,min,mean,mean,Iris-versicolor
87,min,min,mean,mean,Iris-versicolor
88,min,min,mean,mean,Iris-versicolor
89,min,min,mean,mean,Iris-versicolor
90,mean,min,mean,mean,Iris-versicolor
91,min,min,mean,mean,Iris-versicolor
92,min,min,min,min,Iris-versicolor
93,min,min,mean,mean,Iris-versicolor
94,min,min,mean,mean,Iris-versicolor
95,min,min,mean,mean,Iris-versicolor
96,mean,min,mean,mean,Iris-versicolor
97,min,min,min,min,Iris-versicolor
98,min,min,mean,mean,Iris-versicolor
99,mean,mean,mean,max,Iris-virginica
100,min,min,mean,mean,Iris-virginica
101,mean,min,mean,mean,Iris-virginica
102,mean,min,mean,mean,Iris-virginica
103,mean,min,mean,mean,Iris-virginica
104,mean,min,mean,mean,Iris-virginica
105,min,min,mean,mean,Iris-virginica
106,mean,min,mean,mean,Iris-virginica
107,mean,min,mean,mean,Iris-virginica
108,mean,mean,mean,max,Iris-virginica
109,mean,mean,mean,mean,Iris-virginica
110,mean,min,mean,mean,Iris-virginica
111,mean,min,mean,mean,Iris-virginica
112,min,min,mean,mean,Iris-virginica
113,min,min,mean,mean,Iris-virginica
114,mean,mean,mean,mean,Iris-virginica
115,mean,min,mean,mean,Iris-virginica
116,mean,mean,mean,mean,Iris-virginica
117,mean,min,max,mean,Iris-virginica
118,mean,min,mean,mean,Iris-virginica
119,mean,mean,mean,mean,Iris-virginica
120,min,min,mean,mean,Iris-virginica
121,mean,min,mean,mean,Iris-virginica
122,mean,min,mean,mean,Iris-virginica
123,mean,mean,mean,mean,Iris-virginica
124,mean,mean,mean,mean,Iris-virginica
125,mean,min,mean,mean,Iris-virginica
126,mean,min,mean,mean,Iris-virginica
127,mean,min,mean,mean,Iris-virginica
128,mean,min,mean,mean,Iris-virginica
129,mean,min,mean,mean,Iris-virginica
130,max,mean,mean,mean,Iris-virginica
131,mean,min,mean,mean,Iris-virginica
132,mean,min,mean,mean,Iris-virginica
133,mean,min,mean,mean,Iris-virginica
134,mean,min,mean,mean,Iris-virginica
135,mean,mean,mean,mean,Iris-virginica
136,mean,mean,mean,mean,Iris-virginica
137,mean,min,mean,mean,Iris-virginica
138,mean,mean,mean,mean,Iris-virginica
139,mean,mean,mean,mean,Iris-virginica
140,mean,mean,mean,mean,Iris-virginica
141,min,min,mean,mean,Iris-virginica
142,mean,mean,mean,mean,Iris-virginica
143,mean,mean,mean,max,Iris-virginica
144,mean,min,mean,mean,Iris-virginica
145,mean,min,mean,mean,Iris-virginica
146,mean,min,mean,mean,Iris-virginica
147,mean,mean,mean,mean,Iris-virginica
148,mean,min,mean,mean,Iris-virginica
